Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United Kingdom,GBR,1.37139554902264,2.28080934506818,1.53554758729182,1.21053092061211,1.12929130133277
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,0.9567188606119,1.80045545903454,2.08707643757423,0.742794633785039,1.5469978828973
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Germany,DEU,0.2157220462623,1.50565308013002,0.866213323405802,1.12402999800132,1.79471020042621
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,France,FRA,0.0598314921665235,0.464385588219002,0.646648268099796,0.784469316339781,1.42667763500899
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Russian Federation,RUS,1.56886003062522,-1.04302310359526,-3.03756702039266,-0.407586190025469,1.43070457636784
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,7.22693645387173,6.75577841625581,6.3583833559258,6.1238038247144,6.30396712336683
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,South Africa,ZAF,1.01905824540781,0.405051486336134,-0.0973017411161692,-0.734889635351081,0.0665680558305866
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Japan,JPN,2.1475317532426,0.507999337360147,1.4614419475615,1.05462675404206,1.8800197571837
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2.06999544558914,-0.379916592675443,-4.36879676357361,-4.25414709607819,0.187041952837873
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Vietnam,VNM,4.21688206046255,4.78439886696351,5.50882099933763,5.09051077615817,5.72587784766472
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,India,IND,5.09669172650985,6.14033403637697,6.8990355993143,5.88983640263139,5.42924311888073
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Sudan,SDN,1.95913319079666,0.26330564674268,2.43622919446196,2.23710955008573,1.8273537416262
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Congo, Dem. Rep.",COD,4.92650915537507,5.89641636919222,3.44510359020802,-0.903382021120208,0.381205500750667
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Saudi Arabia,SAU,-0.243798338824803,0.849572301221471,1.53181175756991,-0.59281771046966,-2.73209024183771
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Nigeria,NGA,2.61462561818091,3.51962417342746,-0.0222351905991331,-4.16010663908818,-1.77157988634622
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Kenya,KEN,3.09107112592201,2.61606794001329,3.00593452668112,3.19238363756425,2.27217522270134
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Israel,ISR,2.18640030530715,1.44406383383027,1.01655537415223,2.07359486192067,1.3580110690059
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Iran, Islamic Rep.",IRN,-1.45952153446748,3.30178680175788,-2.5011530736039,12.1009990912715,3.16226385726932
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Canada,CAN,1.30361518954778,1.74722366966311,0.163265348825476,0.205758623869713,1.80241135683603
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,1.33845293358164,-3.51419598172089,1.69894482424465,-2.78459211069379,1.87966121607326
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 11/14/2018,,,,,,,,
